nama_barang,tipe,rata_rata_per_hari,frekuensi_total,tanggal_terakhir_digunakan,id_barang
Handscoon bersih Lubrikan (vaselin / jelly) Tisu / kertas toilet,bahan,1.0,1,2025-02-25,B875759
Handscoon bersih Perlak Underpants Kapas cebok Tissue,bahan,1.0,1,2025-12-22,B202500
Handscoon bersih Tisu,bahan,1.0,2,2025-03-18,B440893
Handscoon bersih Tisu / handuk kecil Air sabun / handrub,bahan,1.0,1,2025-11-03,B539635
Handscoon bersih Underpad 2,bahan,1.0,2,2025-07-10,B724635
Handscoon bersih dan steril,alat,1.36,14,2025-12-11,A712092
Handscoon bersih dan steril,bahan,1.0,4,2025-11-21,B712092
Handscoon bersih dan underpad,bahan,1.0,1,2025-09-10,B847537
Handscoon bersih masker,bahan,1.33,6,2025-07-05,B129088
Handscoon bersih secukupnya,bahan,1.5,2,2025-03-20,B893535
Handscoon body lotion,alat,1.0,1,2025-04-12,A225234
Handscoon dan underpad,bahan,1.0,1,2025-09-10,B919289
Handscoon masker,bahan,1.0,2,2025-10-10,B972803
Handscoon secukupnya,bahan,1.0,1,2025-04-22,B688104
Handscoon steril,alat,1.24,17,2025-12-02,A631192
Handscoon steril,bahan,1.73,33,2025-12-02,B631192
Handscoon steril (1),alat,1.0,1,2025-08-05,A752296
Handscoon steril (2 pcs),bahan,1.33,3,2025-12-03,B012466
Handscoon steril 1 pasang,bahan,1.0,2,2025-11-14,B604333
Handscoon steril 2pcs,bahan,1.0,1,2025-04-29,B891384
Handscoon steril Linex,alat,1.0,2,2025-05-02,A724276
Handscoon steril dan bersih,bahan,1.0,1,2025-05-16,B788425
Handscoon steril dan bersih Masker (4 pcs),bahan,1.0,1,2025-05-03,B699958
Handscoond bersih masker,bahan,1.0,1,2024-07-17,B624396
Handscoone),alat,1.0,2,2025-12-08,A210897
Handscoone),bahan,1.0,2,2025-12-08,B210897
Handscun bersih,alat,1.0,1,2025-08-27,A023933
Handscun bersih,bahan,1.0,2,2025-08-27,B023933
Handscun bersih (1 pcs),alat,1.0,1,2025-08-28,A162299
Handscun bersih (1 pcs),bahan,1.0,1,2025-08-28,B162299
Handscun bersih Air minum (biasa),alat,2.0,1,2025-10-09,A180709
Handson,bahan,1.0,1,2025-12-09,B146707
Handuk,alat,1.32,22,2025-12-09,A223853
Handuk,bahan,1.0,4,2025-11-18,B223853
Handuk (2),alat,1.0,1,2025-06-08,A978738
Handuk (2),bahan,1.0,1,2025-06-08,B978738
Handuk / kain / kassa,alat,1.0,1,2025-02-20,A826289
Handuk 1,alat,1.0,3,2025-08-04,A911849
Handuk 1,bahan,1.0,1,2025-03-10,B911849
Handuk 2 bh,alat,1.0,2,2025-10-10,A978832
Handuk 2pcs,alat,1.0,1,2025-02-26,A981033
Handuk 2pcs,bahan,1.0,1,2025-02-26,B981033
Handuk Besar 2 Kapas tempatnya Baby oil Handscoon Bengkok,alat,1.0,1,2025-03-12,A140439
Handuk Besar 2 Kapas tempatnya Baby oil Handscoon Bengkok,bahan,1.0,2,2025-03-12,B140439
Handuk Plester perekat,bahan,1.0,1,2025-01-21,B992304
Handuk besar (2 pcs),alat,1.2,5,2025-11-20,A144502
Handuk besar (2pcs) Kapas dlm tempatnya Baby oil,bahan,1.0,1,2025-05-03,B147411
Handuk besar 2 helai,alat,1.67,6,2025-10-30,A765351
Handuk besar 2 helai,bahan,1.5,2,2025-10-11,B765351
Handuk besar 4 helai,alat,1.0,3,2025-11-19,A939261
Handuk besar 4 helai,bahan,1.0,1,2025-03-19,B939261
Handuk dan kain pengalas,alat,1.0,1,2025-03-20,A278237
Handuk dan tissue,alat,1.0,1,2025-02-27,A577293
Handuk kecil,alat,2.0,7,2025-12-09,A502939
Handuk kecil,bahan,1.0,4,2025-10-09,B502939
Handuk kecil (1 pcs),alat,1.0,1,2025-08-28,A078615
Handuk kecil (1 pcs),bahan,1.0,1,2025-08-28,B078615
Handuk kecil (1pcs),alat,1.0,1,2025-07-11,A879543
Handuk kecil (3 buah),alat,1.0,1,2025-01-30,A218758
Handuk kecil / pengalas dan handuk kecil,alat,2.4,5,2025-10-09,A050206
Handuk kecil / pengalas dan handuk kecil,bahan,2.4,5,2025-10-09,B050206
Handuk kecil atau perlak (4 pcs),bahan,1.0,1,2025-07-30,B104423
Handuk lembut / kain lap bayi Nierbekken,alat,1.0,1,2025-08-09,A081554
Handuk mandi (1pcs) pakaian lengkap bayi (1pcs),alat,1.0,1,2025-12-09,A740247
Handuk/ Kain/ Kassa kering,alat,1.0,1,2025-04-17,A541398
Handuk/ pengalas dan tissue,alat,1.0,1,2025-08-22,A313374
Handuk/ pengalas dan tissue Kassa steril dan kapas lidi di bak instrument steril,bahan,1.0,1,2025-10-09,B843314
Handuk/laken,alat,1.0,1,2025-02-13,A387244
Hansdcan,bahan,1.0,1,2025-10-09,B738666
Heacting 2 pcs,alat,1.0,2,2025-04-30,A645471
Heacting set,alat,1.0,1,2025-10-17,A498281
Heacting set (4 set),alat,2.0,1,2025-12-09,A650695
Hepatitis B DPT-HB-Hib,bahan,1.0,1,2025-01-10,B303825
Hnadscoon bersih,bahan,1.0,1,2025-04-08,B666608
Hugnah,alat,1.0,1,2025-06-05,A698467
Hugnah,bahan,1.0,1,2025-06-05,B698467
Hukna,alat,1.0,1,2025-05-20,A540069
Hypafix / fixomull,bahan,1.0,1,2025-01-12,B838289
I Kassa lipat,alat,1.25,4,2025-12-11,A921383
I Panthon tangan infus (1 pcs),alat,1.0,1,2025-08-28,A627623
I Panthon tangan infus (1 pcs),bahan,1.0,1,2025-08-28,B627623
IV Cath No 24 (5 pcs),bahan,1.5,2,2025-11-21,B277758
IV Cath No24 (5 pcs),bahan,1.0,1,2025-11-19,B420426
IV cannula / Abocath (ukuran 2426G,alat,1.0,1,2025-10-30,A314324
IV catheter / abocath (ukuran 1824 G),alat,1.0,1,2025-01-31,A415680
IV stand (tiang infus),alat,1.0,1,2025-01-31,A957812
Infant warmer (1),alat,1.0,1,2025-08-22,A659164
Infanto Meter (untuk mengukur PB),alat,2.0,1,2025-11-20,A376412
Infocus (1),alat,1.0,1,2025-11-21,A733247
Infus,alat,1.0,2,2025-05-20,A665754
Infus pump,alat,1.0,4,2025-07-30,A930986
Infus set,alat,2.5,4,2025-10-09,A914848
Infus set,bahan,2.4,5,2025-10-09,B914848
Infus set bayi (3-way stopcock bila perlu),alat,1.0,1,2025-10-30,A323584
Infus set pediatric (mikro-drip),alat,1.0,5,2025-11-08,A669472
Infus set( 2 pcs),alat,1.0,1,2025-12-09,A525258
Infus set(4),alat,2.0,3,2025-09-09,A513815
Infused set (3),alat,1.0,4,2025-07-30,A016367
Infuset,alat,1.0,1,2025-05-16,A019741
Inkubator,alat,1.0,1,2025-12-09,A709944
Inkubator bayi (fungsi suhu kelembapan),alat,1.0,4,2025-10-27,A471998
Inkubator bayi / radiant warmer Termometer neonatal Timbangan bayi,alat,1.0,1,2025-10-24,A322713
Instrumen Pelacakan (1pcs),alat,1.0,1,2025-08-14,A619244
Instrumen pelacakan,alat,1.0,1,2025-08-13,A574935
Insulin syringe / spuit,bahan,1.0,1,2025-08-26,B703083
Intradermal Syringe 1,alat,1.0,1,2025-08-13,A013206
Irigasi kateter,alat,1.0,1,2025-07-29,A252299
Irigasi kateter,bahan,1.0,2,2025-07-28,B252299
Irigator lengkap dengan kanul dan slang,alat,1.0,1,2025-02-27,A642635
Iv cath ukuran 24,alat,1.0,1,2025-12-19,A339278
Iv kath (4),alat,1.0,4,2025-07-30,A392923
JE),bahan,1.0,1,2025-02-10,B073322
JE) (1pcs),bahan,1.0,1,2025-08-14,B468406
JE) Penetes vaksin dropper (Polio dan,bahan,1.0,1,2025-08-13,B145771
Jam dinding,alat,1.0,1,2025-04-15,A352544
Jam penunjuk detik ( 4 pcs ),alat,1.0,1,2025-06-02,A325192
Jam penunjuk detik (4 pcs),alat,1.0,1,2025-04-16,A420358
Jam penunjuk detik (4pcs),alat,1.0,1,2025-11-02,A256200
Jam tangan,alat,1.17,6,2025-12-18,A270473
Jam tangan (jarum detik) Meja periksa persalinan Lampu sorot,alat,1.0,2,2025-08-27,A914227
Jam tangan (jarum detik) Timbangan berat badan Pengukur tinggi badan Pita LILA,alat,1.0,1,2025-08-21,A994589
Jam tangan / stopwatch,alat,1.0,1,2025-06-11,A860557
Jam tangan 2,alat,1.0,1,2025-11-02,A170319
Jam tangan dengan detik Termometer,alat,1.5,2,2025-07-31,A704114
Jam tangan dengan jarum detik,alat,1.0,1,2025-08-21,A415768
Jam tangan dengan jarum detik Alat pemeriksaan ginekologi (sesuai kewenangan),alat,1.25,4,2025-10-22,A813316
Jam tangan dengan jarum detik Lampu fototerapi,alat,1.0,1,2025-10-24,A639123
Jam tangan dengan jarum detik Lampu sorot persalinan,alat,1.0,1,2025-08-20,A443635
Jam tangan dengan jarum detik Penlight / senter,alat,1.0,2,2025-07-30,A994475
Jam tangan dengan jarum detik Pulse oximeter neonatal Penlight / senter,alat,1.0,2,2025-02-10,A973722
Jam tangan dengan jarum detik Stetoskop,alat,1.0,2,2025-08-18,A705087
Jam tangan dengan jarum detik Timbangan berat badan,alat,1.0,2,2025-08-21,A157581
Jam tangan dengan jarum detik Timbangan berat badan ibu Alat ukur tinggi badan,alat,1.0,2,2025-08-20,A168570
Jam tangan dengan jarum detik Timer / penghitung napas Penlight / senter,alat,1.0,1,2025-01-10,A976783
Jam/stopwatch Meja periksa,alat,1.0,4,2025-03-02,A537028
Jam/stopwatch Tensimeter Stetoskop Termometer Pulse oximeter,alat,1.5,2,2025-01-15,A905776
Jarum,alat,1.0,1,2025-07-08,A452873
Jarum / pin tumpul,alat,1.5,2,2025-12-02,A776672
Jarum atau kateter,alat,1.33,9,2025-08-05,A578982
Jarum atau kateter Set infus,alat,1.0,1,2025-05-15,A849270
Jarum steril / neurotip Peniti / tusuk gigi,bahan,1.0,1,2025-11-13,B898144
Jarum suntik steril (ukuran sesuai usia jenis vaksin),alat,1.0,1,2025-01-10,A322234
Jarum ukuran 23G25G untuk intramuskular,bahan,1.0,1,2025-08-26,B177534
Jarum(2pcs),alat,1.0,1,2025-05-08,A817927
Jarum/pin tumpul Sikat halus Cotton bud,alat,1.0,1,2025-07-02,A800059
Jeli,alat,1.0,1,2025-12-05,A912975
Jeli,bahan,1.0,1,2025-12-05,B912975
Jeli lidokain 2 Cairan antiseptik Sarung tangan bersih,bahan,1.0,1,2025-08-19,B928883
Jelly,alat,1.0,4,2025-12-08,A187617
Jelly,bahan,1.0,6,2025-12-08,B187617
KED (1),alat,1.0,1,2025-07-05,A086531
KMS / Kartu Menuju Sehat,bahan,1.0,1,2025-10-13,B438313
KMS / Kartu Menuju Sehat Buku KIA,bahan,1.0,2,2025-10-13,B425762
KOM,alat,1.0,1,2025-02-20,A123282
KRUK ( 2 pasang ),alat,1.0,1,2025-04-02,A644853
KURSI RODA ( 2 pcs ) TRIPORD ( 2 pcs ) WALKER ( 2 pcs ),alat,1.0,1,2025-04-02,A685217
Kacamata google,alat,1.0,1,2025-11-02,A788628
Kain 2,alat,1.0,1,2025-11-02,A769416
Kain Kasa,alat,1.0,2,2025-12-08,A568468
Kain Kasa,bahan,1.0,2,2025-12-08,B568468
Kain bidai (4),alat,1.0,1,2024-12-06,A247329
Kain kasa,alat,1.0,1,2025-03-20,A086014
Kain kassa dan kapas steril Larutan klorin 05 untuk desinfeksi,bahan,1.67,3,2025-12-12,B093624
Kain kering / handuk / selimut bayi Topi bayi / kain kepala,bahan,1.0,1,2025-08-20,B069917
Kain lembut (4 pcs),bahan,1.0,1,2025-07-30,B115160
Kain pel,alat,1.0,1,2025-03-20,A395742
Kala 1,alat,1.0,1,2025-12-02,A596935
Kala 1,bahan,1.0,1,2025-12-02,B596935
Kala 2,alat,1.0,1,2025-12-02,A912951
Kala 2,bahan,1.0,1,2025-12-02,B912951
Kala 3,alat,1.0,2,2025-05-02,A534715
Kala I,alat,1.17,6,2025-12-18,A213388
Kala II,alat,1.17,6,2025-12-18,A391890
Kala II,bahan,1.17,6,2025-12-18,B391890
Kala III,alat,1.0,1,2025-02-14,A308351
Kala III,bahan,1.17,6,2025-12-18,B308351
Kala IV,alat,1.0,1,2025-02-14,A621929
Kala IV,bahan,1.17,6,2025-12-18,B621929
Kala3,alat,1.0,1,2025-12-02,A564859
Kala3,bahan,1.0,1,2025-12-02,B564859
Kala4,alat,1.0,3,2025-12-02,A568586
Kamfer spiritus Bedak,bahan,1.0,1,2025-03-13,B551605
Kantong es (1 buah),alat,1.0,1,2025-01-30,A220701
Kantong plastik,bahan,1.33,3,2025-01-22,B841193
Kantong plastik (jika ada jaringan terlepas),bahan,1.0,1,2025-03-14,B560426
Kantong sampah medis,bahan,1.9,10,2025-07-02,B183136
Kantong sampah medis Salep antibiotik,bahan,1.4,10,2025-11-19,B768831
Kantong untuk balutan kotor,alat,1.0,1,2025-09-16,A327043
Kantong/cairan enema Selang enema,alat,1.0,1,2025-02-25,A393918
Kantung sampah infeksius,alat,1.0,2,2025-07-28,A888877
Kapas,alat,1.0,1,2025-02-26,A014082
Kapas,bahan,1.5,24,2025-12-18,B014082
Kapas (1 kotak),bahan,1.0,1,2025-01-30,B192616
Kapas (1 pack),bahan,1.0,1,2025-07-30,B418687
Kapas (1 pcs),bahan,1.0,1,2025-12-09,B337947
Kapas / bantalan Plester,bahan,1.0,1,2025-03-14,B160274
Kapas / waslap bayi Popok bayi,bahan,1.0,1,2025-10-13,B499397
Kapas Alkohol,alat,1.0,1,2025-09-10,A814703
Kapas Alkohol swab,bahan,1.0,1,2025-08-21,B180572
Kapas Antiseptik,bahan,1.0,2,2025-08-27,B449486
Kapas Steril,alat,1.0,1,2025-08-13,A064058
Kapas alkohol,alat,1.0,1,2025-04-30,A263896
Kapas alkohol,bahan,1.11,9,2025-08-15,B263896
Kapas alkohol / alkohol swab Antiseptik (alkohol 70 / povidone iodine),bahan,1.0,1,2025-07-02,B687979
Kapas alkohol 70 untuk desinfeksi,bahan,1.0,1,2025-08-26,B032696
Kapas alkohol swab Kasa tisu,bahan,1.0,2,2025-08-21,B171650
Kapas atau kasa steril,bahan,1.0,5,2025-11-08,B686249
Kapas basah dan tempat,alat,1.0,1,2025-07-29,A914695
Kapas cebok,bahan,2.33,3,2025-12-19,B325014
Kapas cebok dalam baskom,alat,1.0,1,2025-02-27,A714116
Kapas cebok(2pcs),bahan,1.0,1,2025-12-19,B708854
Kapas dalam kom kecil,bahan,1.0,1,2025-12-19,B917518
Kapas dalam tempatnya,alat,1.44,9,2025-11-19,A967823
Kapas dalam tempatnya,bahan,1.5,2,2025-10-11,B967823
Kapas dalam tempatnya (2 pcs) Baby oil (2 pcs),alat,1.0,1,2025-03-19,A893950
Kapas dan air matang,bahan,1.0,1,2025-08-14,B129239
Kapas dan tempatnya,alat,1.0,1,2025-03-20,A158254
Kapas dgn air hangat dan wadahnya,bahan,1.0,1,2025-08-15,B687039
Kapas halus Kain kasa,bahan,1.0,1,2025-07-02,B760150
Kapas kasa steril Alkohol swab,bahan,1.0,2,2025-10-15,B964902
Kapas kering,alat,2.0,1,2025-08-10,A619599
Kapas kering atau tissue,alat,1.0,1,2025-09-16,A875627
Kapas kering dan tisu,alat,1.0,1,2025-07-29,A572678
Kapas kering steril,bahan,1.0,1,2025-08-26,B162242
Kapas lidi,alat,1.0,1,2025-03-20,A050325
Kapas lidi,bahan,1.0,1,2025-01-09,B050325
Kapas mandi dalam kom sedang 1 Cutton bud 1,bahan,1.0,2,2025-08-10,B147956
Kapas steril,bahan,1.17,6,2025-10-13,B024606
Kapas sublimate/kapas basah,alat,1.0,1,2025-09-16,A088923
Kapas(4) Betadine(2) Plester(4) Alkohol(4),bahan,2.0,3,2025-09-09,B303321
Kapas/kasa Plester,bahan,1.0,2,2025-11-26,B556587
Kapas/kasa dan cairan antiseptik plester,bahan,1.0,1,2025-08-19,B785399
Kartu menuju sehat (KMS) atau buku KIA bayi,alat,1.0,1,2025-08-26,A717653
Kartu menuju sehat (KMS) atau buku KIA bayi,bahan,1.0,1,2025-08-26,B717653
Kartu monitor suhu vaccine refrigerator Perangkat yang telah diinstal aplikasi,alat,1.0,1,2025-08-13,A172745
Kasa,alat,1.0,4,2025-11-21,A011813
Kasa,bahan,1.38,13,2025-11-21,B011813
Kasa (1 com),bahan,1.2,5,2025-10-20,B674702
Kasa (5 pcs),bahan,1.0,1,2025-04-17,B826447
Kasa / tisu,bahan,1.5,2,2025-10-17,B274185
Kasa / tisu Selimut bayi Perlak / underpad,bahan,1.0,1,2025-08-14,B403796
Kasa 1 kom,alat,1.0,2,2025-08-10,A958957
Kasa 1 rantang,bahan,1.0,1,2025-03-10,B768884
Kasa Gulung Kasa Steril Perban Elastis Handscoon,alat,1.0,1,2025-08-26,A893692
Kasa Jelly,bahan,1.0,1,2025-08-12,B614288
Kasa Pembalu luka Betadin Kapas,bahan,1.0,1,2025-11-21,B311934
Kasa Steril,bahan,1.0,1,2025-12-19,B088213
Kasa Steril 4pcs Pengalas 4pcs,bahan,1.0,1,2025-08-15,B901082
Kasa Tisu,bahan,1.25,4,2025-12-02,B519648
Kasa Verban kapas,bahan,1.0,1,2025-09-05,B067746
Kasa bersih Baby oil,bahan,1.0,1,2025-09-29,B296274
Kasa dan kapas,bahan,1.0,1,2025-04-25,B875310
Kasa dan/kapas alcohol,alat,1.0,1,2025-12-05,A023369
Kasa dan/kapas alcohol,bahan,1.0,1,2025-12-05,B023369
Kasa gulung,bahan,1.0,4,2025-07-30,B350218
Kasa gulung (2 kotak),bahan,1.0,1,2025-01-30,B332880
Kasa gulung (2),bahan,2.0,1,2025-07-29,B143432
Kasa gulung 2,alat,1.0,1,2025-07-28,A680562
Kasa gulung atau perban elastis,bahan,1.0,5,2025-11-08,B380354
Kasa kapas steril Alkohol swab Povidone iodine Plester,bahan,1.25,4,2025-10-22,B609196
Kasa non-steril NaCl 0,alat,1.0,2,2025-11-26,A106619
Kasa steril,alat,1.5,2,2025-04-24,A832986
Kasa steril,bahan,1.13,15,2025-10-30,B832986
Kasa steril (3 pcs),bahan,1.0,1,2025-04-17,B474461
Kasa steril (3pcs),bahan,1.0,1,2025-02-27,B464559
Kasa steril / kapas Alkohol swab Underpad / perlak,bahan,4.0,3,2025-07-11,B360565
Kasa steril 1 pcs Kasa 1 tromol,bahan,1.0,1,2025-12-09,B898663
Kasa steril 4 Hefafik,bahan,1.0,1,2025-04-16,B041432
Kasa steril 5 buah Handskun 2 buah Aquades,bahan,1.0,1,2025-05-15,B239506
Kasa steril Alkohol 70 Handuk kecil,bahan,1.71,7,2025-12-02,B757260
Kasa steril Antiseptik,bahan,1.5,2,2025-02-25,B909127
Kasa steril Kapas,bahan,1.33,9,2025-12-11,B342536
Kasa steril Kapas Alkohol swab,bahan,1.0,2,2025-02-10,B368385
Kasa steril Kapas steril,bahan,2.2,15,2025-11-19,B462853
Kasa steril Kasa non-steril NaCl 0,bahan,1.0,2,2025-11-26,B813990
Kasa steril di tromol kasa,alat,1.43,7,2025-12-02,A188538
Kasa steril di tromol kasa,bahan,1.0,7,2025-12-02,B188538
Kasa steril di tromol kasa (1 tromol),bahan,1.0,1,2025-06-30,B777771
Kasa steril di tromol kasa (1 tromol) Verban balutan 1 kotak,bahan,1.0,3,2025-06-30,B667667
Kasa steril di tromol kasa (1) Verban balutan 1 kotak Verban elastis 4 buah,bahan,1.0,1,2025-08-05,B207230
Kasa steril di tromol kasa Verban balutan 1 kotak,bahan,1.5,2,2025-10-04,B365500
Kasa steril di tromol kasa Verban balutan 1 kotak NaCl 0,bahan,1.0,1,2025-02-14,B175884
Kasa steril di tromol kasa Verban balutan 1 kotak Verban elastis 4 buah NaCl 0,alat,1.0,1,2025-05-02,A601307
Kasa ukuran 2x2cm dan salep povidone iodine atau cairan povidone iodine,bahan,1.44,9,2025-08-05,B157185
Kassa,alat,1.0,2,2025-12-02,A439451
Kassa,bahan,1.25,8,2025-11-21,B439451
Kassa (2 pcs) Gel (2pcs),bahan,1.0,1,2025-04-22,B493016
Kassa (5 pcs),bahan,1.0,1,2025-04-03,B640167
Kassa (secukupnya) Gel (2 buah),bahan,1.0,1,2025-02-25,B193210
Kassa 1 rantang,bahan,1.25,4,2025-12-18,B054254
Kassa Betadine,bahan,1.33,3,2025-01-22,B710511
Kassa Gulung (2 kotak),bahan,1.0,1,2025-01-23,B497695
Kassa Gulung 4,bahan,1.0,1,2025-12-02,B378652
Kassa gulung,alat,1.0,4,2025-12-02,A639922
Kassa gulung,bahan,1.0,4,2025-12-02,B639922
Kassa gulung 1,bahan,1.0,1,2025-11-11,B935969
Kassa gulung 1 Safety Box,bahan,1.33,3,2025-12-18,B570460
Kassa gulung 3,bahan,1.0,1,2025-11-02,B099215
Kassa kering,bahan,1.33,3,2025-01-22,B375918
Kassa kering atau steril (1 pack),bahan,1.0,1,2025-07-30,B841237
Kassa lipat,bahan,1.25,4,2025-12-11,B898857
Kassa lipat Handscoon,bahan,1.0,1,2025-10-27,B367267
Kassa non-adheren (tulle/vaselin gauze),bahan,1.5,2,2025-06-02,B805572
Kassa non-steril NaCl 0,bahan,1.0,2,2025-11-02,B442394
Kassa secukupnya,alat,1.0,4,2025-12-02,A212108
Kassa secukupnya,bahan,1.0,1,2025-12-02,B212108
Kassa steril,bahan,1.25,4,2025-07-25,B070503
Kassa steril 1 bks (isi 10),bahan,2.33,3,2025-12-09,B582688
Kassa steril 1 bks( isi 10),alat,2.0,1,2025-10-09,A046912
Kassa steril 1 bks( isi 10) (1pcs),alat,1.0,1,2025-08-28,A766208
Kassa steril 1 bks( isi 10) (1pcs),bahan,1.0,1,2025-08-28,B766208
Kassa steril 3 pcs,bahan,1.0,2,2025-11-14,B587973
Kassa steril Kassa non-steril,bahan,1.0,1,2025-01-12,B067159
Kassa steril Spuit 35 ml,alat,1.0,1,2025-04-02,A501515
Kassa steril dan kapas lidi di bak instrumen steril,alat,2.5,4,2025-10-09,A161335
Kassa steril dan kapas lidi di bak instrumen steril,bahan,2.4,5,2025-10-09,B161335
Kassa steril dan kapas lidi di bak instrument,alat,2.0,1,2025-10-09,A968564
Kassa steril dan kapas lidi di bak instrument steril,bahan,1.0,1,2025-08-22,B551420
Kateter,alat,1.0,2,2025-05-20,A982413
Kateter Steril,alat,1.0,2,2025-12-08,A502409
Kateter Steril,bahan,1.0,2,2025-12-08,B502409
Kateter Steril Urine Bag Kain Kasa spuit 10 cc Jelly,bahan,1.0,1,2025-11-11,B773679
Kateter infus,alat,1.0,1,2025-08-27,A884267
Kateter infus ukuran kecil (24G atau 26G),alat,1.0,4,2025-11-08,A152390
Kateter intravena (No24),alat,1.0,1,2025-11-21,A972642
Kateter intravena (No24),bahan,1.0,1,2025-11-21,B972642
Kateter suction neonatal Bag and mask neonatal Oksigen set neonatal,alat,1.0,1,2025-08-21,A762847
Kateter suction ukuran 68 Fr (8 pcs),alat,1.0,1,2025-07-30,A932961
Kateter urin,alat,1.0,1,2025-08-15,A318628
Kateter urin anak (Foley/nelaton) Spuit 510 ml,alat,1.0,1,2025-06-11,A307596
Kateter urin steril Foley catheter,bahan,1.5,2,2025-02-25,B028820
Katrol (pulley) Tali traksi Beban/pemberat,alat,1.0,1,2025-07-02,A838795
Katrol dan Pulley,alat,1.0,2,2025-02-27,A870396
Katrol dan Pulley,bahan,1.0,1,2025-02-20,B870396
Katrol dan Pulley (1 pcs),alat,1.0,1,2025-02-18,A739761
Katrol dan pulley,alat,1.0,1,2025-04-29,A560564
Kebutuhan injeksi,bahan,1.0,1,2025-05-05,B663272
Kebutuhan spritual,alat,1.0,1,2025-04-22,A042617
Ked,alat,1.0,1,2025-04-17,A539371
Kelompok 1,alat,1.0,1,2025-07-28,A826198
Kendrick extrication device (KED),alat,1.0,3,2025-12-08,A200112
Kertas / tissue/ Kassa,alat,1.0,2,2025-04-17,A175510
Kertas kloset,bahan,1.0,1,2025-03-13,B188663
Kertas lakmus (4 pcs),bahan,1.0,5,2025-09-18,B888913
Klem,alat,1.0,3,2025-07-29,A096017
Klem arteri (klem Kocher) 2 buah,alat,1.0,1,2025-11-02,A493003
Klem pengatur aliran Kanula/ujung rektal Perlak dan alas Nierbekken / bengkok Handuk,alat,1.0,1,2025-02-25,A090387
Klem tali pusat,alat,1.0,1,2025-08-20,A371178
Kolostomi bag atau cincin tumit,alat,1.0,1,2025-09-16,A667190
Kom,alat,1.0,3,2025-09-10,A710724
Kom (1 pcs),alat,1.0,1,2025-11-20,A588106
Kom (2 buah),alat,1.0,1,2025-01-30,A012765
Kom (letak kassa),bahan,1.0,2,2025-11-08,B575480
Kom 2 Perlak Pispot,alat,1.0,1,2025-09-05,A842671
Kom 2 Perlak Pispot Pembalut,alat,1.0,1,2025-05-15,A721506
Kom berisi kapas dan air DTT,alat,1.0,1,2025-10-17,A950354
Kom berisi kapas dan air DTT ( 4 set),alat,2.0,1,2025-12-09,A201629
Kom bersih Pengalas Bengkok Sampiran,alat,1.0,1,2025-08-19,A015441
Kom bersih(1pcs),alat,1.0,1,2025-12-19,A650627
Kom besar,alat,1.0,1,2025-10-13,A253300
Kom besar (2) Bak mandi Waslap (2) Termometer Bengkok,alat,2.0,1,2025-08-10,A971038
Kom isi kapas,alat,1.0,1,2025-09-17,A524919
Kom kapas,alat,1.25,4,2025-11-19,A773791
Kom kapas cebok (1pcs),alat,2.33,3,2025-12-19,A313943
Kom kapas cebok bertutup,alat,1.1,21,2025-12-11,A398497
Kom kapas cebok bertutup,bahan,1.0,6,2025-11-03,B398497
Kom kecil,alat,1.0,2,2025-12-19,A345992
Kom kecil (1 pcs),alat,1.0,1,2025-11-20,A132857
Kom kecil (2),alat,1.0,5,2025-07-30,A649637
Kom kecil (mangkok) serta kain kasa dan kapas pada tempatnya2-3 potong,alat,1.0,1,2025-03-20,A537304
Kom kecil 2 buah,alat,1.0,4,2025-12-02,A488503
Kom kecil 2 buah,bahan,1.0,1,2025-12-02,B488503
Kom kecil 4 buah (1 berisi kapas DTT,alat,1.0,1,2025-11-02,A328798
Kom sedang (2 pcs),alat,1.0,1,2025-11-20,A869035
Kom steril,alat,1.0,2,2025-08-14,A907174
Kom steril berisi cairan steril,alat,1.0,1,2025-05-08,A732761
Kom steril(1pcs),alat,1.0,1,2025-05-08,A104026
Kom tutup,alat,1.0,1,2025-02-21,A618733
Kom ukuran sedang 2 buah berisi air hangat dan air dingin,alat,1.11,9,2025-11-19,A658001
Kom ukuran sedang 2 buah berisi air hangat dan air dingin,bahan,1.5,2,2025-10-11,B658001
Kompres dingin,alat,1.0,1,2025-04-24,A455456
Kompres dingin,bahan,1.0,1,2025-04-24,B455456
Kompres dingin (cold pack),alat,1.0,1,2025-04-24,A608429
Komunikasi dan psikososial,alat,1.0,1,2025-07-28,A931158
Kopi/ teh,alat,1.0,1,2025-10-20,A138953
Kopi/ teh,bahan,1.0,1,2025-10-20,B138953
Korentang,alat,1.0,5,2025-12-19,A410018
Korentang,bahan,1.0,2,2025-12-08,B410018
Korentang (k/p),alat,1.0,3,2025-12-02,A052988
Korentang (k/p),bahan,1.0,1,2025-12-02,B052988
Korentang 2,alat,1.0,1,2025-11-02,A809581
Korentang pada tempatnya,alat,1.33,9,2025-12-18,A204924
Korentang pada tempatnya,bahan,1.0,2,2025-12-02,B204924
Kotak steril,alat,1.0,1,2025-02-27,A815999
Krim pelembap/vaselin (kulit sekitar gips),bahan,1.0,1,2025-01-21,B371992
Kruk,alat,1.17,12,2025-12-11,A964291
Kruk (2 pcs),alat,1.5,2,2025-03-20,A654364
Kruk 1 pcs,alat,1.0,1,2025-04-30,A070469
Kruk 2,alat,1.0,1,2025-05-06,A413068
Kruk Tongkat Walker,alat,1.0,1,2025-10-22,A709200
