nama_barang,tipe,rata_rata_per_hari
Cold box / vaccine carrier Ice pack,alat,1.0
Collar,alat,1.0
Collar neck,alat,1.0
Com,alat,1.0
Com kecil,alat,1.2
Com kecil 2,alat,1.0
Com kecil 2,bahan,1.2
Com kecil(4pcs),alat,1.0
Com menengah,alat,1.0
Combiven,alat,2.5
Combiven,bahan,2.4
Cool box insulin (bila simulasi) Insulin / OHO (simulasi) Alkohol swab,bahan,1.0
Cool pack,alat,1.0
Cup feeding,alat,1.0
Cystoscope (rigid/fleksibel) Obat anestesi lokal (lidokain gel 2),bahan,1.0
D Bak instrumen berisi,alat,1.2
D Cairan NaCl 0,alat,1.0
D Cairan NaCl 0,bahan,1.0
D5) Selang infus (infusion set/makro/mikro),bahan,1.0
DPT-HB-Hib,bahan,1.0
DTT,alat,1.0
Darah 1 kolf,bahan,2.33
Darah 1 kolf Obat(Ventolin/bisolvon/Combiven,alat,2.0
Darah 1 kolf dari PMI,alat,2.5
Darah 1 kolf dari PMI,bahan,2.4
Defibrillator) atau defibrillator simulator Stetoskop,alat,1.0
Depper,alat,1.0
Depper secukupnya,alat,1.0
Depper secukupnya,bahan,1.0
Desinfektan Perlak Perba,alat,1.0
Disposafe/pengelolaan limbah,alat,1.0
Doopler atau fetoskop 4pcs Larutan antiseptic 4pcs Kapas 4pcs,bahan,1.0
Doppler (1 pcs),alat,1.0
Doppler / Fetoskop Timbangan berat badan Microtoise (tinggi badan),alat,1.0
Doppler / Pinard Meja periksa tirai Lampu periksa,alat,1.0
Doppler fetal / stetoskop Laennec Tensimeter,alat,1.0
Dower kateter,alat,1.0
Dower kateter,bahan,1.0
Dua bengkok,alat,1.0
Dua bengkok,bahan,1.0
Dua buah buli buli panas Perlak,alat,1.0
Dua buah buli buli panas Perlak,bahan,1.0
Dua buah buli buli panas/ WWZ (warm water zack) dg suhu udara 40 derjat celsius,alat,1.0
Dua buah buli buli panas/ WWZ (warm water zack) dg suhu udara 40 derjat celsius,bahan,1.0
Dug bolong,alat,1.0
Duk lobang,alat,1.0
Duk steril,bahan,1.5
Duk steril 1,bahan,1.25
Duk steril berlubang Perlak dan alas,alat,1.5
Dulcolax,bahan,1.0
E Bengkok,alat,1.2
E Darah 1 kolf (1pcs),alat,1.0
E Darah 1 kolf (1pcs),bahan,1.0
EKG,alat,1.0
Ekg,alat,1.0
Ekg (2 buah),alat,1.0
Ekg (2buah) Troli (2 buah),alat,1.0
Elastic bandage (1 pcs) Spalak/bantalan keras (1 pcs) bedak (1 pcs),bahan,1.0
Ember,alat,1.0
Ember,bahan,1.0
Ember berisi kain bersih,alat,1.0
Ember kosong,alat,1.0
Ember tempat kain kotor Skort 1,alat,1.0
Endotracheal tube (ETT) berbagai ukuran,alat,1.0
Es atau cold pack (untuk mengurangi pembengkakan),alat,1.0
Es atau cold pack (untuk mengurangi pembengkakan),bahan,1.0
Ett opa lsm npa,alat,1.0
F Plester hypavix,alat,1.2
F Tourniquet (1 pcs),alat,1.0
F Tourniquet (1 pcs),bahan,1.0
Face mask (1),alat,1.0
Feeding cup,alat,1.0
Form observasi ikterus / grafik Kramers scale,bahan,1.0
Format dokumentasi/asuhan,alat,1.0
Format dokumentasi/asuhan keperawatan Manekin/phantom pasien,alat,2.0
Formulir pencatatan stunting Hand sanitizer / sabun cuci tangan Kapas tisu,bahan,1.5
G Bengkok (1 pcs),alat,1.0
G Bengkok (1 pcs),bahan,1.0
G Handscoon,alat,1.25
G Metcovazim hijau,alat,1.2
Gambar,alat,1.0
Garpu,alat,1.0
Garpu tala (128 Hz 512 Hz) Termometer,alat,1.5
Garpu tala (2pcs),alat,1.5
Gayung,alat,1.0
Gel,alat,1.0
Gel (1 buah),bahan,1.0
Gel Doppler / gel USG Tisu,bahan,1.0
Gel USG / gel Doppler Tisu / tissue roll,bahan,1.0
Gelang kuning 1 pcs,alat,1.0
Gelas,alat,1.0
Gelas,bahan,1.0
Gelas (1pcs),bahan,1.0
Gelas (3 buah),alat,1.0
Gelas (3 pcs),alat,1.0
Gelas berisi air bersih,alat,1.0
Gelas berisi air bersih,bahan,1.0
Gelas berisi air putih,alat,1.0
Gelas dengan penutupnya,alat,1.0
Gelas kumur berisi,alat,1.0
Gelas minum (1 pcs) Serbet (1pcs),bahan,1.0
Gelas ukur cairan masuk,alat,1.0
Gelas ukur urin/urin bag(4) Alat pengukur berat badan(1) Abbocath(4),alat,2.5
Gelas/com,alat,1.0
Gelas/com berisi air matang,alat,2.2
Gelas/com berisi air matang,bahan,2.4
Ginting heacting aff 1 bh Arteri klem 2 bh,alat,1.0
Gips (jika penanganan lanjutan),alat,1.0
Gips (jika penanganan lanjutan),bahan,1.0
Giving infus set,alat,2.33
Giving tranfussion set Tourniquet,bahan,2.0
Giving transfussion set,alat,2.33
Gliserin,bahan,1.0
Gluco cek set (Pen cek alat gluco cek) (1 Pcs),alat,1.0
Glucocheck,alat,1.0
Glucocheck 1pcs,bahan,1.0
Glucometer,alat,1.0
Glucometer Strip gula darah Lancet,bahan,1.0
Glukometer,alat,1.0
Glukometer,bahan,1.0
Goniometer,alat,2.0
Guling Selimut Sprei bersih,alat,1.0
Guling atau bolster,alat,1.5
Guling atau bolster,bahan,1.5
Gunting,alat,1.33
Gunting,bahan,1.0
Gunting (2 pcs),alat,1.0
Gunting (2),alat,2.0
Gunting 2,alat,1.0
Gunting Alat suction Stetoskop,alat,1.0
Gunting Nierbekken Bak instrumen pinset anatomis Selimutt ganti,alat,1.0
Gunting Verban,alat,1.0
Gunting Verban (2),alat,1.0
Gunting Verban Troli,alat,1.0
Gunting collar neck,alat,1.0
Gunting debridemand Gunting plester Plester,alat,1.0
Gunting episiotomi Klem tali pusat (2 buah) Klem arteri,alat,1.0
Gunting episiotomy,alat,1.0
Gunting gips Gergaji gips,alat,1.0
Gunting heacting aff,alat,1.2
Gunting jaringan,alat,1.2
Gunting jaringan (1),alat,1.0
Gunting jaringan (2 pcs),alat,1.0
Gunting jaringan (2),alat,1.0
Gunting jaringan / benang Klem arteri,alat,2.12
Gunting medis Es pack,alat,1.0
Gunting medis Es pack,bahan,1.0
Gunting perban,alat,1.0
Gunting perban 1,alat,1.0
Gunting perban 1 buah,alat,1.0
Gunting perlak,alat,1.0
Gunting plaster,alat,1.0
Gunting plaster 1,alat,1.25
Gunting plaster(1pcs),alat,1.0
Gunting plester,alat,1.14
Gunting plester,bahan,1.0
Gunting plester (k/p),alat,1.0
Gunting plester (k/p),bahan,1.0
Gunting steril,alat,1.0
Gunting steril,bahan,1.0
Gunting tali pusat,alat,1.0
Gunting verban,alat,1.43
Gunting verban,bahan,1.0
Gunting verban (2 pcs),alat,1.33
Gunting verban 1 pcs,alat,1.0
H NaCl 0,alat,1.25
H Pengalas (1 pcs),alat,1.0
H Pengalas (1 pcs),bahan,1.0
Hammer,alat,1.0
Hand sanitizer,alat,1.0
Hand sanitizer,bahan,1.0
Hand sanitizer (1),bahan,1.33
Hand sanitizer (1pcs),bahan,1.0
Hand sanitizer / sabun cuci tangan,bahan,1.0
Hand sanitizer / sabun cuci tangan Kasa steril,bahan,1.0
Hand sanitizer / sabun cuci tangan Masker,bahan,1.14
Hand sanitizer / sabun cuci tangan Masker medis,bahan,1.0
Hand sanitizer Instrumen Pelacakan,bahan,1.0
Hand sanitizer Sabun cuci tangan,bahan,1.15
Hand scoon steril 2 pcs Tournikcet 1 pcs,bahan,1.0
Hand scrub,alat,1.0
Handcon bersih,bahan,1.0
Handcon steril,bahan,1.0
Handdrup (3 buah),bahan,1.0
Handrub / sabun cuci tangan Tempat sampah medis,bahan,1.0
Handsanitazier,alat,1.43
Handsanitazier,bahan,1.0
Handsanitazier (1),alat,1.0
Handsanitazier (1),bahan,1.0
Handschoon,bahan,1.0
Handschoon bersih,bahan,1.0
Handscon,alat,1.0
Handscone bersih,alat,1.0
Handscone steril,alat,1.0
Handscoon,alat,1.0
Handscoon,bahan,1.7
Handscoon (1 kotak),bahan,1.0
Handscoon (2 pcs),bahan,1.0
Handscoon (3 pca),bahan,1.0
Handscoon (secukupnya) kertas ekg,bahan,1.0
Handscoon 1 kotak,bahan,1.0
Handscoon Bersih,bahan,1.0
Handscoon Steril,bahan,1.0
Handscoon Steril (5 pcs),bahan,1.33
Handscoon bersih,alat,2.42
Handscoon bersih,bahan,1.53
Handscoon bersih (1 kotak),bahan,1.0
Handscoon bersih (non-steril) Masker medis,bahan,2.2
Handscoon bersih 3 pasang,bahan,1.0
Handscoon bersih Hand sanitizer,bahan,1.0
Handscoon bersih Handscoon steril Perlak / underpad Lampu periksa,bahan,1.5
Handscoon bersih Hnadscoon steril Masker,bahan,1.5
Handscoon bersih Lubrikan (vaselin / jelly) Tisu / kertas toilet,bahan,1.0
Handscoon bersih Perlak Underpants Kapas cebok Tissue,bahan,1.0
Handscoon bersih Tisu,bahan,1.0
Handscoon bersih Tisu / handuk kecil Air sabun / handrub,bahan,1.0
Handscoon bersih Underpad 2,bahan,1.0
Handscoon bersih dan steril,alat,1.36
Handscoon bersih dan steril,bahan,1.0
Handscoon bersih dan underpad,bahan,1.0
Handscoon bersih masker,bahan,1.33
Handscoon bersih secukupnya,bahan,1.5
Handscoon body lotion,alat,1.0
Handscoon dan underpad,bahan,1.0
Handscoon masker,bahan,1.0
Handscoon secukupnya,bahan,1.0
Handscoon steril,alat,1.24
Handscoon steril,bahan,1.73
Handscoon steril (1),alat,1.0
Handscoon steril (2 pcs),bahan,1.33
Handscoon steril 1 pasang,bahan,1.0
Handscoon steril 2pcs,bahan,1.0
Handscoon steril Linex,alat,1.0
Handscoon steril dan bersih,bahan,1.0
Handscoon steril dan bersih Masker (4 pcs),bahan,1.0
Handscoond bersih masker,bahan,1.0
Handscoone),alat,1.0
Handscoone),bahan,1.0
Handscun bersih,alat,1.0
Handscun bersih,bahan,1.0
Handscun bersih (1 pcs),alat,1.0
Handscun bersih (1 pcs),bahan,1.0
Handscun bersih Air minum (biasa),alat,2.0
Handson,bahan,1.0
Handuk,alat,1.32
Handuk,bahan,1.0
Handuk (2),alat,1.0
Handuk (2),bahan,1.0
Handuk / kain / kassa,alat,1.0
Handuk 1,alat,1.0
Handuk 1,bahan,1.0
Handuk 2 bh,alat,1.0
Handuk 2pcs,alat,1.0
Handuk 2pcs,bahan,1.0
Handuk Besar 2 Kapas tempatnya Baby oil Handscoon Bengkok,alat,1.0
Handuk Besar 2 Kapas tempatnya Baby oil Handscoon Bengkok,bahan,1.0
Handuk Plester perekat,bahan,1.0
Handuk besar (2 pcs),alat,1.2
Handuk besar (2pcs) Kapas dlm tempatnya Baby oil,bahan,1.0
Handuk besar 2 helai,alat,1.67
Handuk besar 2 helai,bahan,1.5
Handuk besar 4 helai,alat,1.0
Handuk besar 4 helai,bahan,1.0
Handuk dan kain pengalas,alat,1.0
Handuk dan tissue,alat,1.0
Handuk kecil,alat,2.0
Handuk kecil,bahan,1.0
Handuk kecil (1 pcs),alat,1.0
Handuk kecil (1 pcs),bahan,1.0
Handuk kecil (1pcs),alat,1.0
Handuk kecil (3 buah),alat,1.0
Handuk kecil / pengalas dan handuk kecil,alat,2.4
Handuk kecil / pengalas dan handuk kecil,bahan,2.4
Handuk kecil atau perlak (4 pcs),bahan,1.0
Handuk lembut / kain lap bayi Nierbekken,alat,1.0
Handuk mandi (1pcs) pakaian lengkap bayi (1pcs),alat,1.0
Handuk/ Kain/ Kassa kering,alat,1.0
Handuk/ pengalas dan tissue,alat,1.0
Handuk/ pengalas dan tissue Kassa steril dan kapas lidi di bak instrument steril,bahan,1.0
Handuk/laken,alat,1.0
Hansdcan,bahan,1.0
Heacting 2 pcs,alat,1.0
Heacting set,alat,1.0
Heacting set (4 set),alat,2.0
Hepatitis B DPT-HB-Hib,bahan,1.0
Hnadscoon bersih,bahan,1.0
Hugnah,alat,1.0
Hugnah,bahan,1.0
Hukna,alat,1.0
Hypafix / fixomull,bahan,1.0
I Kassa lipat,alat,1.25
I Panthon tangan infus (1 pcs),alat,1.0
I Panthon tangan infus (1 pcs),bahan,1.0
IV Cath No 24 (5 pcs),bahan,1.5
IV Cath No24 (5 pcs),bahan,1.0
IV cannula / Abocath (ukuran 2426G,alat,1.0
IV catheter / abocath (ukuran 1824 G),alat,1.0
IV stand (tiang infus),alat,1.0
Infant warmer (1),alat,1.0
Infanto Meter (untuk mengukur PB),alat,2.0
Infocus (1),alat,1.0
Infus,alat,1.0
Infus pump,alat,1.0
Infus set,alat,2.5
Infus set,bahan,2.4
Infus set bayi (3-way stopcock bila perlu),alat,1.0
Infus set pediatric (mikro-drip),alat,1.0
Infus set( 2 pcs),alat,1.0
Infus set(4),alat,2.0
Infused set (3),alat,1.0
Infuset,alat,1.0
Inkubator,alat,1.0
Inkubator bayi (fungsi suhu kelembapan),alat,1.0
Inkubator bayi / radiant warmer Termometer neonatal Timbangan bayi,alat,1.0
Instrumen Pelacakan (1pcs),alat,1.0
Instrumen pelacakan,alat,1.0
Insulin syringe / spuit,bahan,1.0
Intradermal Syringe 1,alat,1.0
Irigasi kateter,alat,1.0
Irigasi kateter,bahan,1.0
Irigator lengkap dengan kanul dan slang,alat,1.0
Iv cath ukuran 24,alat,1.0
Iv kath (4),alat,1.0
JE),bahan,1.0
JE) (1pcs),bahan,1.0
JE) Penetes vaksin dropper (Polio dan,bahan,1.0
Jam dinding,alat,1.0
Jam penunjuk detik ( 4 pcs ),alat,1.0
Jam penunjuk detik (4 pcs),alat,1.0
Jam penunjuk detik (4pcs),alat,1.0
Jam tangan,alat,1.17
Jam tangan (jarum detik) Meja periksa persalinan Lampu sorot,alat,1.0
Jam tangan (jarum detik) Timbangan berat badan Pengukur tinggi badan Pita LILA,alat,1.0
Jam tangan / stopwatch,alat,1.0
Jam tangan 2,alat,1.0
Jam tangan dengan detik Termometer,alat,1.5
Jam tangan dengan jarum detik,alat,1.0
Jam tangan dengan jarum detik Alat pemeriksaan ginekologi (sesuai kewenangan),alat,1.25
Jam tangan dengan jarum detik Lampu fototerapi,alat,1.0
Jam tangan dengan jarum detik Lampu sorot persalinan,alat,1.0
Jam tangan dengan jarum detik Penlight / senter,alat,1.0
Jam tangan dengan jarum detik Pulse oximeter neonatal Penlight / senter,alat,1.0
Jam tangan dengan jarum detik Stetoskop,alat,1.0
Jam tangan dengan jarum detik Timbangan berat badan,alat,1.0
Jam tangan dengan jarum detik Timbangan berat badan ibu Alat ukur tinggi badan,alat,1.0
Jam tangan dengan jarum detik Timer / penghitung napas Penlight / senter,alat,1.0
Jam/stopwatch Meja periksa,alat,1.0
Jam/stopwatch Tensimeter Stetoskop Termometer Pulse oximeter,alat,1.5
Jarum,alat,1.0
Jarum / pin tumpul,alat,1.5
Jarum atau kateter,alat,1.33
Jarum atau kateter Set infus,alat,1.0
Jarum steril / neurotip Peniti / tusuk gigi,bahan,1.0
Jarum suntik steril (ukuran sesuai usia jenis vaksin),alat,1.0
Jarum ukuran 23G25G untuk intramuskular,bahan,1.0
Jarum(2pcs),alat,1.0
Jarum/pin tumpul Sikat halus Cotton bud,alat,1.0
Jeli,alat,1.0
Jeli,bahan,1.0
Jeli lidokain 2 Cairan antiseptik Sarung tangan bersih,bahan,1.0
Jelly,alat,1.0
Jelly,bahan,1.0
KED (1),alat,1.0
KMS / Kartu Menuju Sehat,bahan,1.0
KMS / Kartu Menuju Sehat Buku KIA,bahan,1.0
KOM,alat,1.0
KRUK ( 2 pasang ),alat,1.0
KURSI RODA ( 2 pcs ) TRIPORD ( 2 pcs ) WALKER ( 2 pcs ),alat,1.0
Kacamata google,alat,1.0
Kain 2,alat,1.0
Kain Kasa,alat,1.0
Kain Kasa,bahan,1.0
Kain bidai (4),alat,1.0
Kain kasa,alat,1.0
Kain kassa dan kapas steril Larutan klorin 05 untuk desinfeksi,bahan,1.67
Kain kering / handuk / selimut bayi Topi bayi / kain kepala,bahan,1.0
Kain lembut (4 pcs),bahan,1.0
Kain pel,alat,1.0
Kala 1,alat,1.0
Kala 1,bahan,1.0
Kala 2,alat,1.0
Kala 2,bahan,1.0
Kala 3,alat,1.0
Kala I,alat,1.17
Kala II,alat,1.17
Kala II,bahan,1.17
Kala III,alat,1.0
Kala III,bahan,1.17
Kala IV,alat,1.0
Kala IV,bahan,1.17
Kala3,alat,1.0
Kala3,bahan,1.0
Kala4,alat,1.0
Kamfer spiritus Bedak,bahan,1.0
Kantong es (1 buah),alat,1.0
Kantong plastik,bahan,1.33
Kantong plastik (jika ada jaringan terlepas),bahan,1.0
Kantong sampah medis,bahan,1.9
Kantong sampah medis Salep antibiotik,bahan,1.4
Kantong untuk balutan kotor,alat,1.0
Kantong/cairan enema Selang enema,alat,1.0
Kantung sampah infeksius,alat,1.0
Kapas,alat,1.0
Kapas,bahan,1.5
Kapas (1 kotak),bahan,1.0
Kapas (1 pack),bahan,1.0
Kapas (1 pcs),bahan,1.0
Kapas / bantalan Plester,bahan,1.0
Kapas / waslap bayi Popok bayi,bahan,1.0
Kapas Alkohol,alat,1.0
Kapas Alkohol swab,bahan,1.0
Kapas Antiseptik,bahan,1.0
Kapas Steril,alat,1.0
Kapas alkohol,alat,1.0
Kapas alkohol,bahan,1.11
Kapas alkohol / alkohol swab Antiseptik (alkohol 70 / povidone iodine),bahan,1.0
Kapas alkohol 70 untuk desinfeksi,bahan,1.0
Kapas alkohol swab Kasa tisu,bahan,1.0
Kapas atau kasa steril,bahan,1.0
Kapas basah dan tempat,alat,1.0
Kapas cebok,bahan,2.33
Kapas cebok dalam baskom,alat,1.0
Kapas cebok(2pcs),bahan,1.0
Kapas dalam kom kecil,bahan,1.0
Kapas dalam tempatnya,alat,1.44
Kapas dalam tempatnya,bahan,1.5
Kapas dalam tempatnya (2 pcs) Baby oil (2 pcs),alat,1.0
Kapas dan air matang,bahan,1.0
Kapas dan tempatnya,alat,1.0
Kapas dgn air hangat dan wadahnya,bahan,1.0
Kapas halus Kain kasa,bahan,1.0
Kapas kasa steril Alkohol swab,bahan,1.0
Kapas kering,alat,2.0
Kapas kering atau tissue,alat,1.0
Kapas kering dan tisu,alat,1.0
Kapas kering steril,bahan,1.0
Kapas lidi,alat,1.0
Kapas lidi,bahan,1.0
Kapas mandi dalam kom sedang 1 Cutton bud 1,bahan,1.0
Kapas steril,bahan,1.17
Kapas sublimate/kapas basah,alat,1.0
Kapas(4) Betadine(2) Plester(4) Alkohol(4),bahan,2.0
Kapas/kasa Plester,bahan,1.0
Kapas/kasa dan cairan antiseptik plester,bahan,1.0
Kartu menuju sehat (KMS) atau buku KIA bayi,alat,1.0
Kartu menuju sehat (KMS) atau buku KIA bayi,bahan,1.0
Kartu monitor suhu vaccine refrigerator Perangkat yang telah diinstal aplikasi,alat,1.0
Kasa,alat,1.0
Kasa,bahan,1.38
Kasa (1 com),bahan,1.2
Kasa (5 pcs),bahan,1.0
Kasa / tisu,bahan,1.5
Kasa / tisu Selimut bayi Perlak / underpad,bahan,1.0
Kasa 1 kom,alat,1.0
Kasa 1 rantang,bahan,1.0
Kasa Gulung Kasa Steril Perban Elastis Handscoon,alat,1.0
Kasa Jelly,bahan,1.0
Kasa Pembalu luka Betadin Kapas,bahan,1.0
Kasa Steril,bahan,1.0
Kasa Steril 4pcs Pengalas 4pcs,bahan,1.0
Kasa Tisu,bahan,1.25
Kasa Verban kapas,bahan,1.0
Kasa bersih Baby oil,bahan,1.0
Kasa dan kapas,bahan,1.0
Kasa dan/kapas alcohol,alat,1.0
Kasa dan/kapas alcohol,bahan,1.0
Kasa gulung,bahan,1.0
Kasa gulung (2 kotak),bahan,1.0
Kasa gulung (2),bahan,2.0
Kasa gulung 2,alat,1.0
Kasa gulung atau perban elastis,bahan,1.0
Kasa kapas steril Alkohol swab Povidone iodine Plester,bahan,1.25
Kasa non-steril NaCl 0,alat,1.0
Kasa steril,alat,1.5
Kasa steril,bahan,1.13
Kasa steril (3 pcs),bahan,1.0
Kasa steril (3pcs),bahan,1.0
Kasa steril / kapas Alkohol swab Underpad / perlak,bahan,4.0
Kasa steril 1 pcs Kasa 1 tromol,bahan,1.0
Kasa steril 4 Hefafik,bahan,1.0
Kasa steril 5 buah Handskun 2 buah Aquades,bahan,1.0
Kasa steril Alkohol 70 Handuk kecil,bahan,1.71
Kasa steril Antiseptik,bahan,1.5
Kasa steril Kapas,bahan,1.33
Kasa steril Kapas Alkohol swab,bahan,1.0
Kasa steril Kapas steril,bahan,2.2
Kasa steril Kasa non-steril NaCl 0,bahan,1.0
Kasa steril di tromol kasa,alat,1.43
Kasa steril di tromol kasa,bahan,1.0
Kasa steril di tromol kasa (1 tromol),bahan,1.0
Kasa steril di tromol kasa (1 tromol) Verban balutan 1 kotak,bahan,1.0
Kasa steril di tromol kasa (1) Verban balutan 1 kotak Verban elastis 4 buah,bahan,1.0
Kasa steril di tromol kasa Verban balutan 1 kotak,bahan,1.5
Kasa steril di tromol kasa Verban balutan 1 kotak NaCl 0,bahan,1.0
Kasa steril di tromol kasa Verban balutan 1 kotak Verban elastis 4 buah NaCl 0,alat,1.0
Kasa ukuran 2x2cm dan salep povidone iodine atau cairan povidone iodine,bahan,1.44
Kassa,alat,1.0
Kassa,bahan,1.25
Kassa (2 pcs) Gel (2pcs),bahan,1.0
Kassa (5 pcs),bahan,1.0
Kassa (secukupnya) Gel (2 buah),bahan,1.0
Kassa 1 rantang,bahan,1.25
Kassa Betadine,bahan,1.33
Kassa Gulung (2 kotak),bahan,1.0
Kassa Gulung 4,bahan,1.0
Kassa gulung,alat,1.0
Kassa gulung,bahan,1.0
Kassa gulung 1,bahan,1.0
Kassa gulung 1 Safety Box,bahan,1.33
Kassa gulung 3,bahan,1.0
Kassa kering,bahan,1.33
Kassa kering atau steril (1 pack),bahan,1.0
Kassa lipat,bahan,1.25
Kassa lipat Handscoon,bahan,1.0
Kassa non-adheren (tulle/vaselin gauze),bahan,1.5
Kassa non-steril NaCl 0,bahan,1.0
Kassa secukupnya,alat,1.0
Kassa secukupnya,bahan,1.0
Kassa steril,bahan,1.25
Kassa steril 1 bks (isi 10),bahan,2.33
Kassa steril 1 bks( isi 10),alat,2.0
Kassa steril 1 bks( isi 10) (1pcs),alat,1.0
Kassa steril 1 bks( isi 10) (1pcs),bahan,1.0
Kassa steril 3 pcs,bahan,1.0
Kassa steril Kassa non-steril,bahan,1.0
Kassa steril Spuit 35 ml,alat,1.0
Kassa steril dan kapas lidi di bak instrumen steril,alat,2.5
Kassa steril dan kapas lidi di bak instrumen steril,bahan,2.4
Kassa steril dan kapas lidi di bak instrument,alat,2.0
Kassa steril dan kapas lidi di bak instrument steril,bahan,1.0
Kateter,alat,1.0
Kateter Steril,alat,1.0
Kateter Steril,bahan,1.0
Kateter Steril Urine Bag Kain Kasa spuit 10 cc Jelly,bahan,1.0
Kateter infus,alat,1.0
Kateter infus ukuran kecil (24G atau 26G),alat,1.0
Kateter intravena (No24),alat,1.0
Kateter intravena (No24),bahan,1.0
Kateter suction neonatal Bag and mask neonatal Oksigen set neonatal,alat,1.0
Kateter suction ukuran 68 Fr (8 pcs),alat,1.0
Kateter urin,alat,1.0
Kateter urin anak (Foley/nelaton) Spuit 510 ml,alat,1.0
Kateter urin steril Foley catheter,bahan,1.5
Katrol (pulley) Tali traksi Beban/pemberat,alat,1.0
Katrol dan Pulley,alat,1.0
Katrol dan Pulley,bahan,1.0
Katrol dan Pulley (1 pcs),alat,1.0
Katrol dan pulley,alat,1.0
Kebutuhan injeksi,bahan,1.0
Kebutuhan spritual,alat,1.0
Ked,alat,1.0
Kelompok 1,alat,1.0
Kendrick extrication device (KED),alat,1.0
Kertas / tissue/ Kassa,alat,1.0
Kertas kloset,bahan,1.0
Kertas lakmus (4 pcs),bahan,1.0
Klem,alat,1.0
Klem arteri (klem Kocher) 2 buah,alat,1.0
Klem pengatur aliran Kanula/ujung rektal Perlak dan alas Nierbekken / bengkok Handuk,alat,1.0
Klem tali pusat,alat,1.0
Kolostomi bag atau cincin tumit,alat,1.0
Kom,alat,1.0
Kom (1 pcs),alat,1.0
Kom (2 buah),alat,1.0
Kom (letak kassa),bahan,1.0
Kom 2 Perlak Pispot,alat,1.0
Kom 2 Perlak Pispot Pembalut,alat,1.0
Kom berisi kapas dan air DTT,alat,1.0
Kom berisi kapas dan air DTT ( 4 set),alat,2.0
Kom bersih Pengalas Bengkok Sampiran,alat,1.0
Kom bersih(1pcs),alat,1.0
Kom besar,alat,1.0
Kom besar (2) Bak mandi Waslap (2) Termometer Bengkok,alat,2.0
Kom isi kapas,alat,1.0
Kom kapas,alat,1.25
Kom kapas cebok (1pcs),alat,2.33
Kom kapas cebok bertutup,alat,1.1
Kom kapas cebok bertutup,bahan,1.0
Kom kecil,alat,1.0
Kom kecil (1 pcs),alat,1.0
Kom kecil (2),alat,1.0
Kom kecil (mangkok) serta kain kasa dan kapas pada tempatnya2-3 potong,alat,1.0
Kom kecil 2 buah,alat,1.0
Kom kecil 2 buah,bahan,1.0
Kom kecil 4 buah (1 berisi kapas DTT,alat,1.0
Kom sedang (2 pcs),alat,1.0
Kom steril,alat,1.0
Kom steril berisi cairan steril,alat,1.0
Kom steril(1pcs),alat,1.0
Kom tutup,alat,1.0
Kom ukuran sedang 2 buah berisi air hangat dan air dingin,alat,1.11
Kom ukuran sedang 2 buah berisi air hangat dan air dingin,bahan,1.5
Kompres dingin,alat,1.0
Kompres dingin,bahan,1.0
Kompres dingin (cold pack),alat,1.0
Komunikasi dan psikososial,alat,1.0
Kopi/ teh,alat,1.0
Kopi/ teh,bahan,1.0
Korentang,alat,1.0
Korentang,bahan,1.0
Korentang (k/p),alat,1.0
Korentang (k/p),bahan,1.0
Korentang 2,alat,1.0
Korentang pada tempatnya,alat,1.33
Korentang pada tempatnya,bahan,1.0
Kotak steril,alat,1.0
Krim pelembap/vaselin (kulit sekitar gips),bahan,1.0
Kruk,alat,1.17
Kruk (2 pcs),alat,1.5
Kruk 1 pcs,alat,1.0
Kruk 2,alat,1.0
Kruk Tongkat Walker,alat,1.0
Kruk Walker,alat,1.0
Kursi,alat,1.33
Kursi Roda,alat,1.0
Kursi Roda ( 3 pics ) tempat tidur,alat,2.0
Kursi Roda (2 pcs) Kruk (2 pasang),alat,1.0
Kursi Roda 1 pcs,alat,1.0
Kursi meja pemeriksaan Timbangan BB alat ukur TB,alat,1.0
Kursi roda,alat,1.0
Kursi roda (1 pcs),alat,1.5
Kursi roda / brankar (bila skenario mobilisasi),alat,1.0
Kursi roda Walker / tongkat Bed side rail Meja makan Jam/stopwatch Tensimeter Stetoskop,alat,1.0
Kursi roda Walker / tongkat Meja makan Jam / stopwatch Tensimeter Stetoskop,alat,1.5
Kursi roda Walker Tongkat,alat,1.0
Kursi roda kruk tripod walker,alat,1.0
LIHA,alat,1.0
LMA (1),alat,1.0
LSB,alat,1.0
LSB 1,bahan,1.0
Label / stiker vaksin (untuk dokumentasi),alat,1.0
Label / stiker vaksin (untuk dokumentasi),bahan,1.0
Label pasien dan label infus,bahan,1.0
Label tanggal jam pemasangan,alat,1.0
Label/tanda tanggal pemasangan infus,alat,1.0
Laenec / dopler,alat,2.0
Laenec / dopler,bahan,1.0
Laenec / doppler,bahan,1.0
Laenec / doppler (4pcs),alat,1.33
Laenec /(4pcs),alat,1.0
Laken besar,alat,1.0
Laken kecil,alat,1.0
Laktulosa / microlax (sesuai program terapi),bahan,1.0
Lampu fototerapi Pompa infus,alat,1.0
Lampu periksa / penlight,alat,1.0
Lampu periksa Jam/stopwatch Meja instrumen,alat,2.12
Lampu senter atau penlight Bak instrumen,alat,1.0
Lampu senter atau penlight Sarung tangan steril dan sarung tangan biasa Korentang,alat,1.67
Lampu senter kecil / lampu kepala untuk inspeksi genital,alat,1.0
Lampu sorot,alat,1.25
Lampu sorot 60 watt,alat,1.25
